sample_id,number,type,utm_x,utm_y,coord_key,n_votes,has_coords,elevation_m,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,He,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Sn,Sr,Th,Ti,Tl,U,V,Zn
30T,30,T,679413,4165078,679413_4165078,1,TRUE,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31T,31,T,679301,4165091,679301_4165091,1,TRUE,17.72648811340332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32T,32,T,679347,4165069,679347_4165069,1,TRUE,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33T,33,T,679233,4165124,679233_4165124,1,TRUE,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34T,34,T,679374,4165087,679374_4165087,1,TRUE,17.654273986816406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35T,35,T,679408,4165110,679408_4165110,1,TRUE,18.269269943237305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36T,36,T,679258,4165154,679258_4165154,1,TRUE,18.11157989501953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37T,37,T,679327,4165133,679327_4165133,1,TRUE,18.31732177734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38T,38,T,679240,4165174,679240_4165174,1,TRUE,18.800832748413086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39T,39,T,679452,4165041,679452_4165041,1,TRUE,15.044833183288574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40T,40,T,679407,4165006,679407_4165006,1,TRUE,15.431639671325684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41T,41,T,679346,4165227,679346_4165227,1,TRUE,19.696054458618164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42T,42,T,679165,4165028,679165_4165028,1,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44T,44,T,679192,4165039,679192_4165039,1,TRUE,15.351726531982422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45T,45,T,679181,4165101,679181_4165101,1,TRUE,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46T,46,T,679308,4165279,679308_4165279,1,TRUE,19.386526107788086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47T,47,T,679370,4165206,679370_4165206,1,TRUE,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50T,50,T,679325,4165265,679325_4165265,1,TRUE,19.287260055541992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51T,51,T,679331,4164989,679331_4164989,1,TRUE,14.688232421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60T,60,T,679231,4165033,679231_4165033,1,TRUE,15.481951713562012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61T,61,T,679200,4165022,679200_4165022,1,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64T,64,T,679228,4165012,679228_4165012,1,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65T,65,T,679260,4165232,679260_4165232,1,TRUE,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300T,300,T,679292,4165047,679292_4165047,1,TRUE,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1U,1,U,686891,4165322,686891_4165322,7,TRUE,106.92727661132812,0.4902613534575929,38799.8153410502,185.481464512117,0,463.029173489316,NA,0.671909047551531,NA,3.003320147481371,19.971725842005796,66.1131453414427,327.05735738759694,38940.44535289611,31.160185936621,NA,31.160185936621,NA,1712.2210212414,1.27358739141087,NA,20.554946130548,NA,1248.53904719897,NA,19.9162565938756,5.20603591333445,15.752140376363302,190.603636838105,NA,4422.47815406527,NA,1.91147612581309,78.7429229367301,1029.1375449696
2U,2,U,686879,4165291,686879_4165291,7,TRUE,108.29387664794922,0,27282.2743225314,24.0002597387135,0,231.45012062711905,NA,0,NA,2.0639151901108197,18.427291342359094,42.58331455633719,29.6839124028703,19596.158634557494,20.796847512071295,NA,20.796847512071295,NA,379.5429504881989,0.6540900504200061,NA,20.581655653897403,NA,291.55124150824895,NA,3.12780522401099,3.682391811301681,0.3960929707068401,285.422043436865,NA,2319.69685438535,NA,1.2558654866578298,53.55517231112321,436.46321912277193
4U,4,U,686889,4165690,686889_4165690,7,TRUE,94.5831527709961,0,8811.9165229315,61.553056307719,0,114.79126563313002,NA,0,NA,0.0290621138242882,25.689123622574197,20.814213552309894,3.0398465164721298,12509.175824217698,10.959761099720302,NA,10.959761099720302,NA,254.990033297249,3.2745840965309805,NA,19.489900744793797,NA,154,NA,0.617230256845787,1.88874176595481,0,396.767995865556,NA,550.9960260251389,NA,3.98750764910267,26.88334220323119,41.5644648508318
6U,6,U,686846,4165693,686846_4165693,7,TRUE,92.0131607055664,0.21831160279502404,8516.84872992614,38.24936293012601,0,94.77327580844847,NA,0,NA,0.09387175669225407,15.4505018264337,15.117995805450798,3.1617080177784302,9496.044046096193,8.28490491181038,NA,8.28490491181038,NA,281.827180002912,1.70788033496359,NA,10.961446157549604,NA,123.04233741633,NA,0.666028075382079,1.5964384586244498,0.360104944839273,355.68985993235606,NA,380.7916432442719,NA,3.49349852061534,19.354546998634294,41.1429804158188
7U,7,U,686866,4165705,686866_4165705,7,TRUE,93.05078125,0.192982965371281,43317.4210590057,45.333581207639696,0,2192.1286951460693,NA,0,NA,2.520637742161871,19.6103069031782,53.242074084078304,38.22471664959171,31633.723304739404,35.0767812379344,NA,35.0767812379344,NA,6298.13658124274,1.04412006609514,NA,29.888223280873493,NA,958.301756106865,NA,19.763896850378796,4.6225245486285775,5.60258817532387,304.91025891765594,NA,2829.28701590113,NA,2.0237912505931805,70.7603189832559,1236.9101856872503
